section,cohort,external_cohort,label_key,diagnosis,headline,finding_class,feature,orientation,metric,value,lower_95,upper_95
shift_delta,,chapman_shaoxing,733534002|164909002,complete left bundle branch block / left bundle branch block,True,geometric,,,shift_delta,-0.25792091402112016,-0.3043981063609251,-0.2158550115843969
shift_delta,,chapman_shaoxing,713427006|59118001,complete right bundle branch block / right bundle branch block,True,geometric,,,shift_delta,-0.02171446865814952,-0.03047420730469764,-0.01409523026860037
shift_delta,,chapman_shaoxing,270492004,1st degree av block,True,geometric,,,shift_delta,-0.03978961236790701,-0.08645576415451613,0.008433276580669578
shift_delta,,chapman_shaoxing,39732003,left axis deviation,True,geometric,,,shift_delta,0.06039323187412715,0.042994154847133995,0.07788980664280166
shift_delta,,chapman_shaoxing,164947007,prolonged pr interval,False,,,,shift_delta,-0.011223366699317894,-0.12557039259012426,0.1016298732909208
shift_delta,,chapman_shaoxing,111975006,prolonged qt interval,False,,,,shift_delta,-0.06354342328985252,-0.1844062253066618,0.06659341215462994
shift_delta,,chapman_shaoxing,698252002,nonspecific intraventricular conduction disorder,True,interpretive,,,shift_delta,0.01377487443446812,-0.060371715371406454,0.08324486873018506
shift_delta,,chapman_shaoxing,426783006,sinus rhythm,True,interpretive,,,shift_delta,-0.2301205330008551,-0.25713335503145623,-0.19778004939917
shift_delta,,chapman_shaoxing,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,unclassified,,,shift_delta,0.021774319462272818,-0.04603290412040137,0.09461903651655729
shift_delta,,chapman_shaoxing,164917005,qwave abnormal,True,unclassified,,,shift_delta,0.022189900405120033,-0.057465261557077,0.10565950149775678
shift_delta,,chapman_shaoxing,47665007,right axis deviation,True,geometric,,,shift_delta,-0.014820794334004628,-0.019151163525184155,-0.010819294920170483
shift_delta,,chapman_shaoxing,426177001,sinus bradycardia,True,geometric,,,shift_delta,0.038613363035671755,0.01883714128742438,0.0646360470956697
shift_delta,,chapman_shaoxing,427084000,sinus tachycardia,True,geometric,,,shift_delta,-0.08370792676657934,-0.10727131285420981,-0.05155624206544518
shift_delta,,chapman_shaoxing,164934002,t wave abnormal,True,interpretive,,,shift_delta,-0.04063806375648249,-0.06954452580514242,-0.010403252102570234
shift_delta,,chapman_shaoxing,59931005,t wave inversion,True,interpretive,,,shift_delta,-0.04278502832153508,-0.09929962235942787,0.016929031859253395
macro_shift_delta,,ningbo,,,,,,,macro_shift_delta,-0.026730063770846746,-0.03807391701736308,-0.015013714293337787
shift_delta,,ningbo,164890007,atrial flutter,False,,,,shift_delta,-0.2514849161960667,-0.3465157422940706,-0.14310833555714048
