cohort,architecture,threshold_set,label_key,diagnosis,threshold,threshold_attainable,records,positives,negatives,prevalence,tp,fp,tn,fn,sensitivity,specificity,ppv,npv,alerts_per_1000_records,alerts_per_true_positive,records_screened_per_true_positive,missed_cases_per_1000_records,sensitivity_lower_95,sensitivity_upper_95,specificity_lower_95,specificity_upper_95
ptb_test,xresnet1d101,registered_f1,426177001,sinus bradycardia,0.4070141911506653,True,2198,64,2134,0.029117379435850774,31,7,2127,33,0.484375,0.9967197750702905,0.8157894736842105,0.9847222222222223,17.288444040036396,1.2258064516129032,70.90322580645162,15.013648771610555,0.3584905660377358,0.6065720140515222,0.9937884480378858,0.9990632428141638
ptb_test,xresnet1d101,validation_sensitivity_90,426177001,sinus bradycardia,0.038722556084394455,True,2198,64,2134,0.029117379435850774,54,180,1954,10,0.84375,0.915651358950328,0.23076923076923078,0.994908350305499,106.4604185623294,4.333333333333333,40.7037037037037,4.549590536851683,,,,
ptb_test,xresnet1d101,registered_f1,427084000,sinus tachycardia,0.4097171127796173,True,2198,82,2116,0.0373066424021838,74,12,2104,8,0.9024390243902439,0.994328922495274,0.8604651162790697,0.9962121212121212,39.12647861692448,1.162162162162162,29.7027027027027,3.6396724294813465,0.8314606741573034,0.9642857142857143,0.9909519492911668,0.9972055328085832
ptb_test,xresnet1d101,validation_sensitivity_90,427084000,sinus tachycardia,0.3075614273548126,True,2198,82,2116,0.0373066424021838,77,18,2098,5,0.9390243902439024,0.9914933837429112,0.8105263157894737,0.997622444127437,43.22111010009099,1.2337662337662338,28.545454545454547,2.2747952684258417,,,,
ptb_test,xresnet1d101,registered_f1,164934002,t wave abnormal,0.3178183635075887,True,2198,231,1967,0.10509554140127389,157,150,1817,74,0.6796536796536796,0.923741738688358,0.511400651465798,0.960867265996827,139.67242948134668,1.9554140127388535,14.0,33.666969972702454,0.6170191317776252,0.7400022026431717,0.9109154334537232,0.936118038015326
ptb_test,xresnet1d101,validation_sensitivity_90,164934002,t wave abnormal,0.11323405802249908,True,2198,231,1967,0.10509554140127389,206,401,1566,25,0.8917748917748918,0.7961362480935434,0.3393739703459638,0.9842866121935889,276.16014558689716,2.9466019417475726,10.669902912621358,11.373976342129207,,,,
ptb_test,xresnet1d101,registered_f1,59931005,t wave inversion,0.2626289228598277,True,2198,29,2169,0.013193812556869881,7,24,2145,22,0.2413793103448276,0.9889349930843707,0.22580645161290322,0.9898477157360406,14.103730664240219,4.428571428571429,314.0,10.009099181073703,0.09520089285714285,0.4117647058823529,0.9840760705625747,0.9930908211201905
ptb_test,xresnet1d101,validation_sensitivity_90,59931005,t wave inversion,0.008624532260000706,True,2198,29,2169,0.013193812556869881,28,318,1851,1,0.9655172413793104,0.8533886583679114,0.08092485549132948,0.9994600431965442,157.41583257506824,12.357142857142858,78.5,0.4549590536851683,,,,
ptb_test,s4d,registered_f1,733534002|164909002,complete left bundle branch block / left bundle branch block,0.3607633610566457,True,2198,54,2144,0.02456778889899909,44,10,2134,10,0.8148148148148148,0.9953358208955224,0.8148148148148148,0.9953358208955224,24.56778889899909,1.2272727272727273,49.95454545454545,4.549590536851683,0.6875,0.9180658381808565,0.992074499660787,0.9981114481548969
ptb_test,s4d,validation_sensitivity_90,733534002|164909002,complete left bundle branch block / left bundle branch block,0.17419558763504028,True,2198,54,2144,0.02456778889899909,51,20,2124,3,0.9444444444444444,0.9906716417910447,0.7183098591549296,0.998589562764457,32.30209281164695,1.392156862745098,43.09803921568628,1.364877161055505,,,,
