external_cohort,architecture,label_key,diagnosis,estimand,internal_auroc,external_auroc,shift_delta,shift_delta_lower_95,shift_delta_upper_95,excludes_zero
chapman_shaoxing,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,union,0.8851661829740188,0.8289032664613245,-0.05626291651269433,-0.11007267169978238,-0.00026509887519194974,True
chapman_shaoxing,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,restricted,0.8851661829740188,0.8289032664613245,-0.05626291651269433,-0.11007267169978238,-0.00026509887519194974,True
ningbo,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,as_registered,0.8851661829740188,0.8322135491793167,-0.052952633794702164,-0.09957624473560399,0.001816642052727263,False
ningbo,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,union,0.8851661829740188,0.8322135491793167,-0.052952633794702164,-0.09957624473560399,0.001816642052727263,False
ningbo,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,restricted,0.8851661829740188,0.8322135491793167,-0.052952633794702164,-0.09957624473560399,0.001816642052727263,False
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,as_registered,0.8331650617231579,0.8245756156442057,-0.008589446078952179,-0.06825578475181493,0.05440457010869693,False
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,union,0.8331650617231579,0.8245756156442057,-0.008589446078952179,-0.06825578475181493,0.05440457010869693,False
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,restricted,0.8331650617231579,0.8245756156442057,-0.008589446078952179,-0.06825578475181493,0.05440457010869693,False
ningbo,xresnet1d101,164917005,qwave abnormal,as_registered,0.8331650617231579,0.8283298168583539,-0.0048352448648039115,-0.061327508031727644,0.05377418420354562,False
ningbo,xresnet1d101,164917005,qwave abnormal,union,0.8331650617231579,0.8283298168583539,-0.0048352448648039115,-0.061327508031727644,0.05377418420354562,False
ningbo,xresnet1d101,164917005,qwave abnormal,restricted,0.8331650617231579,0.8283298168583539,-0.0048352448648039115,-0.061327508031727644,0.05377418420354562,False
chapman_shaoxing,s4d,164917005,qwave abnormal,as_registered,0.8360497178975947,0.8103573584039578,-0.025692359493636907,-0.08671559505543709,0.042806503438437456,False
chapman_shaoxing,s4d,164917005,qwave abnormal,union,0.8360497178975947,0.8103573584039578,-0.025692359493636907,-0.08671559505543709,0.042806503438437456,False
chapman_shaoxing,s4d,164917005,qwave abnormal,restricted,0.8360497178975947,0.8103573584039578,-0.025692359493636907,-0.08671559505543709,0.042806503438437456,False
ningbo,s4d,164917005,qwave abnormal,as_registered,0.8360497178975947,0.8141423890963616,-0.02190732880123314,-0.07902502139089498,0.044754029901637814,False
ningbo,s4d,164917005,qwave abnormal,union,0.8360497178975947,0.8141423890963616,-0.02190732880123314,-0.07902502139089498,0.044754029901637814,False
ningbo,s4d,164917005,qwave abnormal,restricted,0.8360497178975947,0.8141423890963616,-0.02190732880123314,-0.07902502139089498,0.044754029901637814,False
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,as_registered,0.9942626434339141,0.9710424316605467,-0.023220211773367416,-0.03268827521695633,-0.013370737603180482,True
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,union,0.9942626434339141,0.9710424316605467,-0.023220211773367416,-0.03268827521695633,-0.013370737603180482,True
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,restricted,0.9942626434339141,0.9710424316605467,-0.023220211773367416,-0.03268827521695633,-0.013370737603180482,True
ningbo,xresnet1d101,47665007,right axis deviation,as_registered,0.9942626434339141,0.9665502503711175,-0.027712393062796603,-0.033875349557981244,-0.019148092613707784,True
ningbo,xresnet1d101,47665007,right axis deviation,union,0.9942626434339141,0.9665502503711175,-0.027712393062796603,-0.033875349557981244,-0.019148092613707784,True
ningbo,xresnet1d101,47665007,right axis deviation,restricted,0.9942626434339141,0.9665502503711175,-0.027712393062796603,-0.033875349557981244,-0.019148092613707784,True
chapman_shaoxing,s4d,47665007,right axis deviation,as_registered,0.9906856495254285,0.9686153147138459,-0.022070334811582604,-0.03224228190897973,-0.01035432235517039,True
