cohort,architecture,label_key,diagnosis,headline,positives,negatives,auroc,auprc,uncalibrated_ece,calibrated_ece,uncalibrated_brier,calibrated_brier
ningbo,s4d,713427006|59118001,complete right bundle branch block / right bundle branch block,True,1291,33614,0.9934381938623652,0.9025214898413629,0.008850935105600467,0.008271513312094473,0.010304409278132885,0.0102700668155242
ningbo,s4d,270492004,1st degree av block,True,893,34012,0.9574064762598117,0.5148231579337784,0.004693133333718507,0.006698163522259634,0.01695142973112225,0.016865334868627496
ningbo,s4d,39732003,left axis deviation,True,1163,33742,0.9489062035812392,0.32095258542994887,0.08162383297373628,0.08556803593779304,0.057836646614397316,0.057219143919654145
ningbo,s4d,164947007,prolonged pr interval,False,40,34865,0.9109565466800517,0.010120937140032076,0.009014069551389151,0.011341047335787878,0.0033339094358324182,0.003576924105971875
ningbo,s4d,111975006,prolonged qt interval,False,337,34568,0.7306936244701021,0.03534208073101014,0.00728703633587524,0.0060373587722214765,0.00953664809239277,0.009512393552976565
ningbo,s4d,698252002,nonspecific intraventricular conduction disorder,True,536,34369,0.6193032390348296,0.022367929759265718,0.010418646254137387,0.013544396912201799,0.017027714303461283,0.017439139931159812
ningbo,s4d,426783006,sinus rhythm,True,6299,28606,0.8190524122106899,0.45272133863143954,0.5132026845220343,0.5107524202848492,0.4548664023403299,0.446138888297337
ningbo,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,1063,33842,0.8322135491793168,0.15700372978023222,0.004673372780961925,0.005922471316631334,0.027417571514137578,0.027420118738340347
ningbo,s4d,164917005,qwave abnormal,True,828,34077,0.8141423890963616,0.1496195860659691,0.00844345201554246,0.005997818144768946,0.021765401462109042,0.021773202924137394
ningbo,s4d,47665007,right axis deviation,True,638,34267,0.9631366185495372,0.2822698475762263,0.018728651584906504,0.0210028137517334,0.02194263659670161,0.021746698467672708
ningbo,s4d,426177001,sinus bradycardia,True,12670,22235,0.9669534883266904,0.9215620197289586,0.31268010071807784,0.3071559547346989,0.2896886121864141,0.28127949819084186
ningbo,s4d,427084000,sinus tachycardia,True,5687,29218,0.9863009983837173,0.9454630882581219,0.03845751854405941,0.037836774250894906,0.03749915625012155,0.03723025368498492
ningbo,s4d,164934002,t wave abnormal,True,5167,29738,0.7785897717428291,0.4036557301835907,0.05697956307747608,0.05019844234748324,0.11127411459766215,0.11026477790702477
ningbo,s4d,59931005,t wave inversion,True,2720,32185,0.8763844136380666,0.36278550478726357,0.059326515454433404,0.05533259842430349,0.06715943381948287,0.06576927929178035
