section,cohort,architecture,rung,label_key,diagnosis,sample_size,metric,value,lower_95,upper_95
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,427084000,sinus tachycardia,,temperature,1.0614129103780914,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,427084000,sinus tachycardia,,slope,0.9421404151225039,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,164934002,t wave abnormal,,temperature,1.0614129103780914,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,164934002,t wave abnormal,,slope,0.9421404151225039,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,59931005,t wave inversion,,temperature,1.0614129103780914,,
rung_parameters,ptb_test,xresnet1d101,oracle_global_temperature,59931005,t wave inversion,,slope,0.9421404151225039,,
ladder,ptb_test,xresnet1d101,oracle_per_label_temperature,,,,macro_per_label_ece,0.008855086726359561,,
ladder,ptb_test,xresnet1d101,oracle_per_label_temperature,,,,pooled_ece,0.00233571431353716,,
ladder,ptb_test,xresnet1d101,oracle_per_label_temperature,,,,macro_brier,0.026401801118293544,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,733534002|164909002,complete left bundle branch block / left bundle branch block,,temperature,1.317481135677046,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,733534002|164909002,complete left bundle branch block / left bundle branch block,,slope,0.7590241506464575,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,713427006|59118001,complete right bundle branch block / right bundle branch block,,temperature,1.018800668713363,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,713427006|59118001,complete right bundle branch block / right bundle branch block,,slope,0.9815462736816748,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,270492004,1st degree av block,,temperature,1.0889055695039476,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,270492004,1st degree av block,,slope,0.9183532787471658,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,39732003,left axis deviation,,temperature,1.1874916270871332,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,39732003,left axis deviation,,slope,0.8421112007778596,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,698252002,nonspecific intraventricular conduction disorder,,temperature,1.11445196564694,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,698252002,nonspecific intraventricular conduction disorder,,slope,0.8973020200287407,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,426783006,sinus rhythm,,temperature,1.1025485377917565,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,426783006,sinus rhythm,,slope,0.9069895480545952,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,284470004|63593006,premature atrial contraction / supraventricular premature beats,,temperature,0.9688364965956695,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,284470004|63593006,premature atrial contraction / supraventricular premature beats,,slope,1.0321659057166341,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,164917005,qwave abnormal,,temperature,1.0535666463607283,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,164917005,qwave abnormal,,slope,0.9491568506408585,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,47665007,right axis deviation,,temperature,1.0194075047993507,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,47665007,right axis deviation,,slope,0.9809619757476961,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,426177001,sinus bradycardia,,temperature,1.0490064462621074,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,426177001,sinus bradycardia,,slope,0.9532829884537597,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,427084000,sinus tachycardia,,temperature,0.9628179159412299,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,427084000,sinus tachycardia,,slope,1.0386179810773688,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,164934002,t wave abnormal,,temperature,0.9258910594223906,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,164934002,t wave abnormal,,slope,1.0800406698211793,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,59931005,t wave inversion,,temperature,1.0143332532479317,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_temperature,59931005,t wave inversion,,slope,0.9858692858564618,,
ladder,ptb_test,xresnet1d101,oracle_per_label_offset,,,,macro_per_label_ece,0.009365483507275093,0.01078869777986904,0.013817411568224568
ladder,ptb_test,xresnet1d101,oracle_per_label_offset,,,,pooled_ece,0.0037940846271853563,,
ladder,ptb_test,xresnet1d101,oracle_per_label_offset,,,,macro_brier,0.026321389212909888,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,733534002|164909002,complete left bundle branch block / left bundle branch block,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,733534002|164909002,complete left bundle branch block / left bundle branch block,,offset,0.31633815481352273,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,713427006|59118001,complete right bundle branch block / right bundle branch block,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,713427006|59118001,complete right bundle branch block / right bundle branch block,,offset,-0.33726176700201804,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,270492004,1st degree av block,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,270492004,1st degree av block,,offset,0.36276846350770614,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,39732003,left axis deviation,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,39732003,left axis deviation,,offset,0.2635395444198024,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,698252002,nonspecific intraventricular conduction disorder,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,698252002,nonspecific intraventricular conduction disorder,,offset,0.13786244271974446,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,426783006,sinus rhythm,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,426783006,sinus rhythm,,offset,-0.21039934894584714,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,284470004|63593006,premature atrial contraction / supraventricular premature beats,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,284470004|63593006,premature atrial contraction / supraventricular premature beats,,offset,0.09239318936488315,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,164917005,qwave abnormal,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,164917005,qwave abnormal,,offset,-0.16017848722491415,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,47665007,right axis deviation,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,47665007,right axis deviation,,offset,0.07245782836971594,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,426177001,sinus bradycardia,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,426177001,sinus bradycardia,,offset,0.19232078446071008,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,427084000,sinus tachycardia,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,427084000,sinus tachycardia,,offset,-0.05163613988596935,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,164934002,t wave abnormal,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,164934002,t wave abnormal,,offset,-0.20085564307800374,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,59931005,t wave inversion,,slope,1.0,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_offset,59931005,t wave inversion,,offset,-0.0817569358501874,,
ladder,ptb_test,xresnet1d101,oracle_per_label_affine,,,,macro_per_label_ece,0.008064208273833605,,
ladder,ptb_test,xresnet1d101,oracle_per_label_affine,,,,pooled_ece,0.0020470722703035227,,
ladder,ptb_test,xresnet1d101,oracle_per_label_affine,,,,macro_brier,0.026207630832339665,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,733534002|164909002,complete left bundle branch block / left bundle branch block,,slope,0.7654756329876635,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,733534002|164909002,complete left bundle branch block / left bundle branch block,,offset,0.06512816490132532,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,713427006|59118001,complete right bundle branch block / right bundle branch block,,slope,0.9917270772169904,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,713427006|59118001,complete right bundle branch block / right bundle branch block,,offset,-0.3339419119702794,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,270492004,1st degree av block,,slope,1.0252092963426653,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,270492004,1st degree av block,,offset,0.4006710338888511,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,39732003,left axis deviation,,slope,0.8700520183566332,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,39732003,left axis deviation,,offset,0.17976056236619067,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,698252002,nonspecific intraventricular conduction disorder,,slope,0.744127980518541,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,698252002,nonspecific intraventricular conduction disorder,,offset,-0.566730691950982,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,426783006,sinus rhythm,,slope,0.9338050963129756,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,426783006,sinus rhythm,,offset,-0.10488787324209792,,
rung_parameters,ptb_test,xresnet1d101,oracle_per_label_affine,284470004|63593006,premature atrial contraction / supraventricular premature beats,,slope,1.4374805929632042,,
