cohort,architecture,calibration,label_key,bin,lower,upper,count,mean_probability,observed_frequency
ptb_test,xresnet1d101,uncalibrated,39732003,2,0.06666666666666667,0.13333333333333333,124,0.09756268170331756,0.16129032258064516
ptb_test,xresnet1d101,uncalibrated,39732003,3,0.13333333333333333,0.2,79,0.16753488401823405,0.21518987341772153
ptb_test,xresnet1d101,uncalibrated,39732003,4,0.2,0.26666666666666666,57,0.23226977440348842,0.3157894736842105
ptb_test,xresnet1d101,uncalibrated,39732003,5,0.26666666666666666,0.3333333333333333,54,0.2974044183890025,0.3333333333333333
ptb_test,xresnet1d101,uncalibrated,39732003,6,0.3333333333333333,0.4,42,0.36525421483176096,0.30952380952380953
ptb_test,xresnet1d101,uncalibrated,39732003,7,0.4,0.4666666666666667,46,0.42693013989407086,0.4782608695652174
ptb_test,xresnet1d101,uncalibrated,39732003,8,0.4666666666666667,0.5333333333333333,54,0.49801936635264643,0.5740740740740741
ptb_test,xresnet1d101,uncalibrated,39732003,9,0.5333333333333333,0.6,44,0.5676329582929611,0.5227272727272727
ptb_test,xresnet1d101,uncalibrated,39732003,10,0.6,0.6666666666666666,40,0.6331084311008454,0.7
ptb_test,xresnet1d101,uncalibrated,39732003,11,0.6666666666666666,0.7333333333333333,44,0.7056550803509626,0.7045454545454546
ptb_test,xresnet1d101,uncalibrated,39732003,12,0.7333333333333333,0.8,60,0.7669291804234187,0.7666666666666667
ptb_test,xresnet1d101,uncalibrated,39732003,13,0.8,0.8666666666666667,50,0.8298167300224304,0.86
ptb_test,xresnet1d101,uncalibrated,39732003,14,0.8666666666666667,0.9333333333333333,86,0.9013666268004927,0.9069767441860465
ptb_test,xresnet1d101,uncalibrated,39732003,15,0.9333333333333333,1.0,115,0.9708916700404623,0.9826086956521739
ptb_test,xresnet1d101,uncalibrated,698252002,1,0.0,0.06666666666666667,1972,0.014165524150734049,0.01977687626774848
ptb_test,xresnet1d101,uncalibrated,698252002,2,0.06666666666666667,0.13333333333333333,104,0.0946746702091052,0.09615384615384616
ptb_test,xresnet1d101,uncalibrated,698252002,3,0.13333333333333333,0.2,44,0.16264100406657567,0.18181818181818182
ptb_test,xresnet1d101,uncalibrated,698252002,4,0.2,0.26666666666666666,29,0.22880084350191313,0.20689655172413793
ptb_test,xresnet1d101,uncalibrated,698252002,5,0.26666666666666666,0.3333333333333333,20,0.29128396660089495,0.25
ptb_test,xresnet1d101,uncalibrated,698252002,6,0.3333333333333333,0.4,12,0.3599336047967275,0.25
ptb_test,xresnet1d101,uncalibrated,698252002,7,0.4,0.4666666666666667,7,0.4369562992027828,0.42857142857142855
