external_cohort,architecture,label_key,diagnosis,headline,shift_delta,shift_delta_lower_95,shift_delta_upper_95,excludes_zero
chapman_shaoxing,s4d,733534002|164909002,complete left bundle branch block / left bundle branch block,True,-0.07508614475138842,-0.0945940337941455,-0.05618228127103139,True
chapman_shaoxing,s4d,713427006|59118001,complete right bundle branch block / right bundle branch block,True,-0.020750527487395254,-0.02902304023812783,-0.013749929438310857,True
chapman_shaoxing,s4d,270492004,1st degree av block,True,-0.015113913360889852,-0.027254721885539575,-0.004439371875583344,True
chapman_shaoxing,s4d,39732003,left axis deviation,True,0.014808026479872227,0.0014262453228389843,0.02826253962275049,True
chapman_shaoxing,s4d,164947007,prolonged pr interval,False,-0.05273311557366056,-0.10364538437325503,-0.015084379989024755,True
chapman_shaoxing,s4d,111975006,prolonged qt interval,False,-0.047703501267972515,-0.15894924197701804,0.10626298525522064,False
chapman_shaoxing,s4d,698252002,nonspecific intraventricular conduction disorder,True,-0.02470577893718162,-0.09771258692377005,0.04707356857331066,False
chapman_shaoxing,s4d,426783006,sinus rhythm,True,-0.08093851149009179,-0.09717096087334555,-0.06462453367742878,True
chapman_shaoxing,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,-0.05626291651269433,-0.11007267169978238,-0.00026509887519194974,True
chapman_shaoxing,s4d,164917005,qwave abnormal,True,-0.025692359493636907,-0.08671559505543709,0.042806503438437456,False
chapman_shaoxing,s4d,47665007,right axis deviation,True,-0.022070334811582604,-0.03224228190897973,-0.01035432235517039,True
chapman_shaoxing,s4d,426177001,sinus bradycardia,True,0.022276698609275836,0.002817595226404465,0.04874163476839588,True
chapman_shaoxing,s4d,427084000,sinus tachycardia,True,-0.002837106869223449,-0.006612946479047152,0.001896551520932591,False
chapman_shaoxing,s4d,164934002,t wave abnormal,True,-0.15492467568162638,-0.1768156993764871,-0.13249561810625507,True
chapman_shaoxing,s4d,59931005,t wave inversion,True,-0.10430359787282306,-0.14220107374817192,-0.07096900863279423,True
ningbo,xresnet1d101,164890007,atrial flutter,False,-0.14819307500848744,-0.18766736733486084,-0.10334090838111715,True
ningbo,xresnet1d101,733534002|164909002,complete left bundle branch block / left bundle branch block,True,-0.0010657781010612322,-0.0047017958083836135,0.002993011159380082,False
ningbo,xresnet1d101,713427006|59118001,complete right bundle branch block / right bundle branch block,True,-0.0032870881603417335,-0.005980328920949204,-0.0007702624628700216,True
ningbo,xresnet1d101,270492004,1st degree av block,True,-0.00662609410110504,-0.014466999685961593,0.002248766748129943,False
ningbo,xresnet1d101,39732003,left axis deviation,True,0.01549542940737414,0.004083409918002451,0.027705565518566174,True
ningbo,xresnet1d101,164947007,prolonged pr interval,False,-0.05129437195591302,-0.07617291048238965,-0.028879599538766714,True
ningbo,xresnet1d101,111975006,prolonged qt interval,False,-0.16894264913010826,-0.2280648669040813,-0.08974045172085147,True
ningbo,xresnet1d101,698252002,nonspecific intraventricular conduction disorder,True,-0.2291628975829494,-0.29402866981454806,-0.15939679843220922,True
ningbo,xresnet1d101,426783006,sinus rhythm,True,-0.12175853678316961,-0.13629780546843384,-0.10609838371737433,True
ningbo,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,-0.03416564074591877,-0.07396190700161331,0.015178867360115597,False
ningbo,xresnet1d101,164917005,qwave abnormal,True,-0.0048352448648039115,-0.061327508031727644,0.05377418420354562,False
ningbo,xresnet1d101,47665007,right axis deviation,True,-0.027712393062796603,-0.033875349557981244,-0.019148092613707784,True
ningbo,xresnet1d101,426177001,sinus bradycardia,True,0.008896005289867892,-0.01185551856087369,0.03653314233143883,False
ningbo,xresnet1d101,427084000,sinus tachycardia,True,-0.007047270624058188,-0.010749942699704371,-0.0016369648667439876,True
ningbo,xresnet1d101,164934002,t wave abnormal,True,-0.14829729554362758,-0.16715390003648944,-0.12727117834030355,True
ningbo,xresnet1d101,59931005,t wave inversion,True,-0.09378621261213271,-0.11178853337731841,-0.07399019513731604,True
ningbo,s4d,164890007,atrial flutter,False,-0.12985330145040874,-0.1676407288571771,-0.08855143724620378,True
ningbo,s4d,733534002|164909002,complete left bundle branch block / left bundle branch block,True,-0.000263638727250437,-0.002460705496414689,0.002322632586429388,False
ningbo,s4d,713427006|59118001,complete right bundle branch block / right bundle branch block,True,-0.004333365009939971,-0.006873598443457027,-0.001875592611783402,True
ningbo,s4d,270492004,1st degree av block,True,-0.02207990673670579,-0.030748233016115546,-0.012854733940602187,True
ningbo,s4d,39732003,left axis deviation,True,0.01155590418004171,-0.00033711358657208533,0.024355283180529874,False
ningbo,s4d,164947007,prolonged pr interval,False,-0.07187752964918614,-0.11034795159937077,-0.041125621881574786,True
ningbo,s4d,111975006,prolonged qt interval,False,-0.1132187503064701,-0.2165130309945448,0.022414786672467914,False
ningbo,s4d,698252002,nonspecific intraventricular conduction disorder,True,-0.13349393660928244,-0.19808121294211664,-0.0635849556104422,True
ningbo,s4d,426783006,sinus rhythm,True,-0.11229203041723812,-0.12740865618135533,-0.09601754822761356,True
ningbo,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,-0.052952633794702164,-0.09957624473560399,0.001816642052727263,False
ningbo,s4d,164917005,qwave abnormal,True,-0.02190732880123314,-0.07902502139089498,0.044754029901637814,False
ningbo,s4d,47665007,right axis deviation,True,-0.027549030975891342,-0.035062194869604726,-0.017384606772907735,True
ningbo,s4d,426177001,sinus bradycardia,True,0.009325500978986656,-0.009428460734109386,0.03574743364698644,False
ningbo,s4d,427084000,sinus tachycardia,True,-0.008269982297734124,-0.011786972436508536,-0.00358487915909617,True
ningbo,s4d,164934002,t wave abnormal,True,-0.1369495271213299,-0.15637343420559172,-0.11653183335541636,True
ningbo,s4d,59931005,t wave inversion,True,-0.07884682274927213,-0.09397140946113534,-0.0637247784048107,True
