cohort,architecture,label_key,diagnosis,headline,auroc,auroc_lower_95,auroc_upper_95
ningbo,xresnet1d101,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,0.870546907623346,0.860290896479289,0.8803281250731726
ningbo,xresnet1d101,164917005,qwave abnormal,True,0.8283298168583539,0.8134289656616702,0.8416715616133905
ningbo,xresnet1d101,47665007,right axis deviation,True,0.9665502503711175,0.9621386968678168,0.9707011047048486
ningbo,xresnet1d101,426177001,sinus bradycardia,True,0.9653671275953974,0.9636158912280877,0.9671887183235585
ningbo,xresnet1d101,427084000,sinus tachycardia,True,0.9880769859115128,0.9868980882873704,0.9891723596417518
ningbo,xresnet1d101,164934002,t wave abnormal,True,0.7712122747031058,0.7640906590011288,0.7778528292679125
ningbo,xresnet1d101,59931005,t wave inversion,True,0.8648471954417933,0.8578119962435918,0.8713573746584252
ningbo,s4d,164890007,atrial flutter,False,0.8342857087862738,0.8293890742605902,0.8388556077334461
ningbo,s4d,733534002|164909002,complete left bundle branch block / left bundle branch block,True,0.996972403284911,0.9954105508715723,0.9981774063789207
ningbo,s4d,713427006|59118001,complete right bundle branch block / right bundle branch block,True,0.9934381938623652,0.9915700701703704,0.9950043329969669
ningbo,s4d,270492004,1st degree av block,True,0.9574064762598116,0.9519935486110621,0.9625517533953227
ningbo,s4d,39732003,left axis deviation,True,0.9489062035812393,0.9447491923674541,0.9527995995830378
ningbo,s4d,164947007,prolonged pr interval,False,0.9109565466800517,0.872735002545433,0.9416663191289018
ningbo,s4d,111975006,prolonged qt interval,False,0.7306936244701022,0.7040160097718562,0.755996294528944
ningbo,s4d,698252002,nonspecific intraventricular conduction disorder,True,0.6193032390348296,0.5969649120200462,0.6424406424054983
ningbo,s4d,426783006,sinus rhythm,True,0.81905241221069,0.8140443618265234,0.8242207666809102
ningbo,s4d,284470004|63593006,premature atrial contraction / supraventricular premature beats,True,0.8322135491793167,0.8201366141442087,0.8429971625597749
ningbo,s4d,164917005,qwave abnormal,True,0.8141423890963616,0.7988198503186936,0.8282800398949626
ningbo,s4d,47665007,right axis deviation,True,0.9631366185495371,0.9593292930870132,0.9666569649006738
ningbo,s4d,426177001,sinus bradycardia,True,0.9669534883266905,0.9651735969028098,0.968674530086391
ningbo,s4d,427084000,sinus tachycardia,True,0.9863009983837173,0.9851422167786102,0.9874299510645864
ningbo,s4d,164934002,t wave abnormal,True,0.7785897717428292,0.7716187669726152,0.7852373250270891
ningbo,s4d,59931005,t wave inversion,True,0.8763844136380667,0.8704610872285836,0.882105844853204
