cohort,architecture,label_key,diagnosis,estimand,competing_labels,records_evaluated,positives,prevalence,auroc,auroc_lower_95,auroc_upper_95
ptb_test,s4d,47665007,right axis deviation,union,,2198,26,0.011828935395814377,0.9906856495254285,0.9811710058738224,0.997055999263564
ptb_test,s4d,47665007,right axis deviation,restricted,,2198,26,0.011828935395814377,0.9906856495254285,0.9811710058738224,0.997055999263564
ptb_test,xresnet1d101,426177001,sinus bradycardia,as_registered,,2198,64,0.029117379435850774,0.9564711223055296,0.9297583190621966,0.9768459698955206
ptb_test,xresnet1d101,426177001,sinus bradycardia,union,,2198,64,0.029117379435850774,0.9564711223055296,0.9297583190621966,0.9768459698955206
ptb_test,xresnet1d101,426177001,sinus bradycardia,restricted,,2198,64,0.029117379435850774,0.9564711223055296,0.9297583190621966,0.9768459698955206
ptb_test,s4d,426177001,sinus bradycardia,as_registered,,2198,64,0.029117379435850774,0.9576279873477038,0.9311604670764302,0.976507798638597
ptb_test,s4d,426177001,sinus bradycardia,union,,2198,64,0.029117379435850774,0.9576279873477038,0.9311604670764302,0.976507798638597
ptb_test,s4d,426177001,sinus bradycardia,restricted,,2198,64,0.029117379435850774,0.9576279873477038,0.9311604670764302,0.976507798638597
ptb_test,xresnet1d101,427084000,sinus tachycardia,as_registered,,2198,82,0.0373066424021838,0.995124256535571,0.9896627391492564,0.9986389738774616
ptb_test,xresnet1d101,427084000,sinus tachycardia,union,,2198,82,0.0373066424021838,0.995124256535571,0.9896627391492564,0.9986389738774616
ptb_test,xresnet1d101,427084000,sinus tachycardia,restricted,,2198,82,0.0373066424021838,0.995124256535571,0.9896627391492564,0.9986389738774616
ptb_test,s4d,427084000,sinus tachycardia,as_registered,,2198,82,0.0373066424021838,0.9945709806814514,0.9900204182353434,0.9979657740252049
ptb_test,s4d,427084000,sinus tachycardia,union,,2198,82,0.0373066424021838,0.9945709806814514,0.9900204182353434,0.9979657740252049
ptb_test,s4d,427084000,sinus tachycardia,restricted,,2198,82,0.0373066424021838,0.9945709806814514,0.9900204182353434,0.9979657740252049
ptb_test,xresnet1d101,164934002,t wave abnormal,as_registered,t wave inversion,2198,231,0.10509554140127389,0.9195095702467334,0.900461950179487,0.9366458475873488
