cohort,architecture,label_key,diagnosis,records,positives,prevalence,threshold,net_benefit_calibrated,net_benefit_uncalibrated,net_benefit_treat_all,net_benefit_gain,standardized_net_benefit_calibrated,flagged_fraction,true_positives,false_positives,net_benefit_calibrated_lower_95,net_benefit_calibrated_upper_95,net_benefit_gain_lower_95,net_benefit_gain_upper_95
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.16,0.0016450807901964336,0.0015196085265373838,-0.16317435532815647,0.0016450807901964336,0.07173252279635257,0.01454084122182102,38,111,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.17,0.0013968237544694246,0.0014215150834625706,-0.17718850418753185,0.0013968237544694246,0.060907459625736994,0.013272177222601737,35,101,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.18,0.0013353105132495652,0.0013019872562344248,-0.19154446155567242,0.0013353105132495652,0.058225220550077846,0.011808334146579487,33,88,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.19,0.001102400341201942,0.0011192676688268894,-0.20625488700697703,0.001102400341201942,0.04806934594168638,0.011222796916170586,31,84,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.2,0.0010002927686152043,0.001195471845418171,-0.22133307309456426,0.0010002927686152043,0.04361702127659574,0.010637259685761687,30,79,-9.758953840148347e-05,0.0021713672294330043,-9.758953840148347e-05,0.0021713672294330043
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.21,0.0011636625971417384,0.001319311734339041,-0.23679298541221697,0.0011636625971417384,0.05074064099111231,0.00956377476334537,30,68,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.22,0.0011235308395452827,0.0011910928276693867,-0.25264930573801464,0.0011235308395452827,0.04899072558647026,0.008880647994534986,29,62,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.23,0.0011584004947916338,0.0011482613219707006,-0.268917478539807,0.0011584004947916338,0.050511190936722856,0.008002342148921636,28,54,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.24,0.0011248478373644662,0.0011197115458696511,-0.2856137611521729,0.0011248478373644662,0.0490481522956327,0.007416804918512735,27,49,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.25,0.001040955076282489,0.0010084252301486613,-0.3027552779675352,0.001040955076282489,0.04539007092198581,0.007026446764906802,26,46,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.26,0.0009310569474519897,0.0009310569474519897,-0.3203600790211506,0.0009310569474519897,0.04059804485336399,0.006733678149702352,25,44,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.27,0.000887663746555958,0.0007285794305316223,-0.33844720339130335,0.000887663746555958,0.0387059166423783,0.0066360886113008685,25,43,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.28,0.0006505969226765556,0.0007264998969888205,-0.3570367478828493,0.0006505969226765556,0.02836879432624113,0.006343319996096418,23,42,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.29,0.0006501387558296005,0.0004948201947117463,-0.37614994151500203,0.0006501387558296005,0.028348816302067727,0.006148140919293452,23,40,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.3,0.00040429951623471654,0.00029276861520445,-0.3958092263937878,0.00040429951623471654,0.01762917933130698,0.005562603688884552,20,37,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.31,0.00022205155839178097,0.00030974070883949077,-0.4160383456168862,0.00022205155839178097,0.009682392846130126,0.005172245535278618,18,35,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.32,0.00024110356546248836,0.00028702805412200976,-0.43686243893478155,0.00024110356546248836,0.010513141426783482,0.004977066458475651,18,33,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.33,0.00031461701932418494,0.0004107499974510193,-0.4583081469785843,0.00031461701932418494,0.013718640838361374,0.004684297843271202,18,30,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.34,0.00034895653125378867,0.00044950332839471113,-0.48040372496310835,0.00034895653125378867,0.015215989684074775,0.004489118766468235,18,28,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.35,0.0004504132541606925,0.0005029614671461066,-0.5031791668856176,0.0004504132541606925,0.019639934533551555,0.0039035815360593342,17,23,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.36,0.0005611398458085293,0.0006160339611593637,-0.5266663413682053,0.0005611398458085293,0.02446808510638298,0.0036108129208548842,17,20,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.37,0.0006273613182952501,0.0006273613182952501,-0.550899140437542,0.0006273613182952501,0.027355623100303945,0.0034156338440519177,17,18,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.38,0.000604425528164026,0.00046905939425229105,-0.5759136427026637,0.000604425528164026,0.026355525051475634,0.0031228652288474677,16,16,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.39,0.0004303538660655578,0.00039515763910108817,-0.6017482925830352,0.0004303538660655578,0.018765259853505405,0.0028300966136430173,14,15,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.4,0.0004228879997397611,0.0004228879997397611,-0.6284440974594191,0.0004228879997397611,0.01843971631205673,0.0025373279984385673,13,13,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.41,0.000454866492549287,0.000454866492549287,-0.6560448448739853,0.000454866492549287,0.019834114677244868,0.002439738460037084,13,12,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.42,0.0004206445620753593,0.0004206445620753593,-0.6845973421993989,0.0004206445620753593,0.018341892883345562,0.002439738460037084,13,12,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.43,0.00045884204020346577,0.00045884204020346577,-0.7141516815362305,0.00045884204020346577,0.02000746547219112,0.002342148921635601,13,11,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.44,0.0004809770106930252,0.0004809770106930252,-0.7447615329922347,0.0004809770106930252,0.020972644376899698,0.0020493803064311504,12,9,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.45,0.0004347170346975167,0.0005145630206623668,-0.7764844699557298,0.0004347170346975167,0.018955512572533844,0.0018542012296281839,11,8,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.46,0.0003939725809541364,0.0003939725809541364,-0.8093823305104656,0.0003939725809541364,0.017178881008668236,0.0016590221528252171,10,7,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.47,0.0002725141827060291,0.0002725141827060291,-0.84352161976538,0.0002725141827060291,0.011882778000802893,0.0015614326144237339,9,7,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.48,0.0003378099406205194,0.0003378099406205194,-0.8789739586070219,0.0003378099406205194,0.01472995090016367,0.0014638430760222504,9,6,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.49,0.00040949335721406755,0.00040949335721406755,-0.9158165852463753,0.00040949335721406755,0.01785565289945766,0.0013662535376207671,9,5,,,,
chapman_shaoxing,xresnet1d101,164917005,qwave abnormal,10247,235,0.02293354152434859,0.5,9.758953840148342e-05,9.758953840148342e-05,-0.9541329169513029,9.758953840148342e-05,0.004255319148936173,0.001073484922416317,6,5,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.01,0.01821178507037783,0.018256143951469413,0.011092677531635273,0.007119107538742557,0.8679821470519146,0.09027032302137211,194,731,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.02,0.017438653025375273,0.01729326452938939,0.001001786486039713,0.01643686653933556,0.8311343141907928,0.07260661657070362,190,554,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.03,0.016648574035749965,0.016638513258595174,-0.00929716416874338,0.016648574035749965,0.7934787820666507,0.06675124426661462,186,498,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.04,0.01619173091311278,0.01627712175921408,-0.019810676295501126,0.01619173091311278,0.7717054263565892,0.060310334732116715,184,434,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.05,0.015640007601711414,0.015372920443981038,-0.030545525519664298,0.015640007601711414,0.7454100367197064,0.056113984580852934,181,394,0.01313863364373655,0.01813663049005357,0.01313863364373655,0.01813663049005357
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.06,0.014860602688072691,0.014563681326553283,-0.041508775791150074,0.014860602688072691,0.7082632360217715,0.05182004489118767,175,356,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.07,0.014039251981434901,0.014178815514847776,-0.0527077948856786,0.014039251981434901,0.66911727931983,0.04908753781594613,169,334,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.08,0.013844985382784357,0.013751638867791634,-0.06415027091704466,0.013844985382784357,0.6598584428715876,0.0469405679711135,169,312,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.09,0.013430894274067885,0.013439473574147138,-0.07584422993811107,0.013430894274067885,0.6401226680296448,0.04528154581828828,167,297,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.1,0.013131214556021818,0.013239647376467911,-0.0877980547152012,0.013131214556021818,0.6258397932816538,0.043817702742266026,166,283,0.01071316266007395,0.015571495180161127,0.01071316266007395,0.015571495180161127
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.11,0.012967346979055532,0.012746948133901618,-0.10002050476818099,0.012967346979055532,0.618029788345963,0.042353859666243776,166,268,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.12,0.012349512495896805,0.012327333055351011,-0.11252073777691032,0.012349512495896805,0.5885835095137422,0.04118278520542598,162,260,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.13,0.012041651663677285,0.01210446791828054,-0.12530833246400125,0.012041651663677285,0.5739107190590751,0.03952376305260076,160,245,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.14,0.011799256049984,0.011844646532961434,-0.13839331307404779,0.011799256049984,0.5623580313683073,0.03835268859178296,159,234,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.15,0.011446678798385755,0.011257240282665228,-0.1517861755808013,0.011446678798385755,0.5455540355677155,0.03727920366936664,157,225,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.16,0.010957911026223703,0.010916086938337352,-0.16549791576628703,0.010957911026223703,0.5222591362126247,0.036400897823753296,154,219,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.17,0.010536142814646897,0.010520857706222568,-0.17954005932973627,0.010536142814646897,0.5021574670776129,0.03581536059334439,152,215,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.18,0.010246901532155753,0.010213578275140613,-0.19392469419961106,0.010246901532155753,0.48837209302325585,0.03464428613252659,150,205,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.19,0.009916783834353205,0.009910759788772866,-0.20866450523911242,0.009916783834353205,0.47263853000287115,0.034253927978920656,149,202,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.2,0.009685761686347223,0.009563774763345368,-0.22377281155460135,0.009685761686347223,0.4616279069767442,0.033473211671708795,148,195,0.0072948179955108815,0.012174904850200053,0.0072948179955108815,0.012174904850200053
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.21,0.009273476769366273,0.009253711799563443,-0.23926360663757096,0.009273476769366273,0.44197821607300564,0.03249731628769396,145,188,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.22,0.008960721461941332,0.008805579118841538,-0.25515160159446293,0.008960721461941332,0.4270721526535481,0.03210695813408802,144,185,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.23,0.008376224146693553,0.008170905897069652,-0.27145227174504033,0.008376224146693553,0.39921473874962254,0.030935883673270225,139,178,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.24,0.007909888902014967,0.00774552757418089,-0.28818190689958034,0.007909888902014967,0.3769889840881273,0.030252756904459843,136,174,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.25,0.007449334764646563,0.007124036303308287,-0.3053576656582414,0.007449334764646563,0.3550387596899225,0.02995998828925539,134,173,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.26,0.006667739272404052,0.006673014382587916,-0.3229976341130826,0.006667739272404052,0.31778755499685735,0.028691324290036107,127,167,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.27,0.006412835831670078,0.006423530575604487,-0.34112088937490564,0.006412835831670078,0.3056387384517362,0.02820337659802869,126,163,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.28,0.006126454355204233,0.00624030881667263,-0.35974756839400157,0.006126454355204233,0.29198966408268734,0.027813018444422757,125,160,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.29,0.005980451853307804,0.00600244386196166,-0.37889894259673396,0.005980451853307804,0.2850311169341631,0.027422660290816823,125,156,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.3,0.005743841403058734,0.005785665490945085,-0.39859749891954444,0.005743841403058734,0.27375415282392024,0.026934712598809408,124,152,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.31,0.005480571902981855,0.00552441647820571,-0.41886702788939295,0.005480571902981855,0.26120660599932594,0.026837123060407923,124,151,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.32,0.005155023852031297,0.005149283290948857,-0.4397327194760016,0.005155023852031297,0.2456908344733242,0.026251585829999025,122,147,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.33,0.004789170183045928,0.004642057595306378,-0.4612212675278823,0.004789170183045928,0.22825407844498433,0.025763638137991606,120,144,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.34,0.004326469535799094,0.004527563130080938,-0.4833609837025472,0.004326469535799094,0.20620155038759683,0.025470869522787157,118,143,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.35,0.004271419026957233,0.004323967239942647,-0.5061819219133555,0.004271419026957233,0.20357781753130588,0.02469015321557529,117,136,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.36,0.003964574997560261,0.003976773689860447,-0.5297160144432517,0.003964574997560261,0.18895348837209303,0.02439738460037084,116,134,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.37,0.0035767340344289708,0.0034791444960274873,-0.553997221021716,0.0035767340344289708,0.17046880767811007,0.02371425783156046,113,130,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.38,0.0031763820724869905,0.003198418419867971,-0.5790616923285179,0.0031763820724869905,0.15138784696174043,0.023323899677954524,111,128,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.39,0.0028380957561349417,0.0026429166793319747,-0.6049479495798051,0.0028380957561349417,0.13526496378192907,0.022835951985947105,109,125,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.4,0.0023746787677694278,0.0024397384600370834,-0.6316970820728018,0.0023746787677694278,0.11317829457364338,0.022543183370742657,107,124,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.41,0.0023041055422587543,0.002274332462746437,-0.6593529648197982,0.0023041055422587543,0.10981474182104864,0.022152825217136723,107,120,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.42,0.0021469698448326347,0.0019517907680296678,-0.6879624986960018,0.0021469698448326347,0.10232558139534888,0.021664877525129307,106,116,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.43,0.0017086729706084283,0.0016110834322069448,-0.717575875866107,0.0017086729706084283,0.08143614851081193,0.02088416121791744,102,112,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.44,0.0011710744608178,0.0011710744608178,-0.7482468736494305,0.0011710744608178,0.05581395348837208,0.020688982141114472,100,112,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.45,0.0007807163072118678,0.0007807163072118678,-0.7800331804430565,0.0007807163072118678,0.03720930232558144,0.02029862398750854,98,110,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.46,0.0004734899826146048,0.0004734899826146048,-0.8129967578586687,0.0004734899826146048,0.022566752799310957,0.019810676295501123,96,107,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.47,8.654166612961922e-05,8.654166612961922e-05,-0.8472042438560019,8.654166612961922e-05,0.004124616059675387,0.01942031814189519,94,105,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.48,-1.5013775138688831e-05,-1.5013775138688831e-05,-0.8827274023916943,-1.5013775138688831e-05,-0.0007155635062611371,0.01912754952669074,94,102,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.49,-0.0003004226966477012,-0.0003004226966477012,-0.9196436259680021,-0.0003004226966477012,-0.014318285453716252,0.018834780911486288,93,100,,,,
chapman_shaoxing,xresnet1d101,47665007,right axis deviation,10247,215,0.02098175075631892,0.5,-0.0005855372304089008,-0.0005855372304089008,-0.9580364984873622,-0.0005855372304089008,-0.02790697674418608,0.01854201229628184,92,98,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.01,0.34254618005959864,0.3326511923174361,0.37325829782158465,-0.030712117761986013,0.9025638228518147,0.37113301454084124,3513,290,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.02,0.28784333095002423,0.26962794486390246,0.3668629743299681,-0.07901964337994388,0.758429059461275,0.29989265150775835,2952,121,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.03,0.2387613573598106,0.22005434831819018,0.3603357884983183,-0.12157443113850772,0.6291045587210027,0.24660876354054845,2449,78,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.04,0.1996437981848346,0.18396034611756287,0.35367261962850916,-0.15402882144367455,0.5260349704294164,0.20513320971991802,2048,54,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.05,0.17124395843712922,0.1603498841766268,0.34686917351933555,-0.17562521508220633,0.4512051535369666,0.17566116912267005,1757,43,0.1641711566414817,0.1784660979079885,-0.1839314972803337,-0.16717485990764952
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.06,0.1511495839986379,0.13965270582568018,0.3399209732376264,-0.18877138923898848,0.39825913788481426,0.15467941836635113,1551,34,,,,
chapman_shaoxing,xresnet1d101,426177001,sinus bradycardia,10247,3889,0.3795257148433688,0.07,0.13341644184345589,0.1267121454902615,0.3328233492939449,-0.19940690745048903,0.3515346566134977,0.1360398165316678,1369,25,,,,
