cohort,stratification,subgroup,architecture,records,eligible_labels,eligible_label_keys,eligible_label_digest,contributing_labels,macro_auroc,macro_auroc_lower_95,macro_auroc_upper_95,macro_auprc,uncalibrated_macro_ece,uncalibrated_macro_ece_lower_95,uncalibrated_macro_ece_upper_95,calibrated_macro_ece,calibrated_macro_ece_lower_95,calibrated_macro_ece_upper_95,calibrated_minus_uncalibrated_macro_ece,calibrated_minus_uncalibrated_macro_ece_lower_95,calibrated_minus_uncalibrated_macro_ece_upper_95,uncalibrated_brier,uncalibrated_brier_lower_95,uncalibrated_brier_upper_95,calibrated_brier,calibrated_brier_lower_95,calibrated_brier_upper_95,calibrated_minus_uncalibrated_brier,calibrated_minus_uncalibrated_brier_lower_95,calibrated_minus_uncalibrated_brier_upper_95,ptb_sex_encoding_correction
chapman_shaoxing,age,under_40,xresnet1d101,1262,7,713427006|59118001;39732003;426783006;47665007;426177001;427084000;164934002,080b143a3703b19f,7,0.9303138487452092,0.9159210724015024,0.943194980927259,0.6172722023385518,0.13594666899110333,0.13046659304198252,0.14387080717231263,0.13540038333135057,0.1298350861654419,0.14323298378412683,-0.0005462856597527599,-0.0014328076861669947,-1.6443374897247332e-05,0.12557988837636747,0.11951685069131673,0.13174807516974102,0.12466263870208905,0.1186776385603628,0.1307803637933899,-0.0009172496742784197,-0.0009873733832592123,-0.000850729754176444,False
chapman_shaoxing,age,under_40,s4d,1262,7,713427006|59118001;39732003;426783006;47665007;426177001;427084000;164934002,080b143a3703b19f,7,0.9246542093093215,0.9096873568149946,0.9380888105236974,0.6033090193471378,0.1319207735489897,0.12723060526937086,0.14048643182601284,0.13044078814365123,0.12583613345932415,0.13911914713144705,-0.0014799854053384742,-0.002622341607021357,-0.00030552491977589255,0.12475383938634806,0.11877904437399414,0.13098597264933096,0.12231112659498926,0.11651291796966363,0.1284155353579102,-0.0024427127913587976,-0.0026308318809310513,-0.002251526742989859,False
chapman_shaoxing,age,40_to_64,xresnet1d101,4503,7,713427006|59118001;39732003;426783006;47665007;426177001;427084000;164934002,080b143a3703b19f,7,0.9244246606634368,0.919710378585077,0.9286531515973374,0.6289949320045766,0.16153521809630247,0.15804777927565006,0.16597220371021604,0.16090769151450648,0.15747080371149733,0.16536402284941498,-0.0006275265817959896,-0.0010157725815545236,-0.0002919349007173857,0.15268663781857647,0.14914543978839342,0.1563166495806892,0.15156810883065452,0.14805197512227822,0.15517669703083245,-0.0011185289879219462,-0.0011602790630430618,-0.0010773210444604774,False
chapman_shaoxing,age,40_to_64,s4d,4503,7,713427006|59118001;39732003;426783006;47665007;426177001;427084000;164934002,080b143a3703b19f,7,0.9264078908705669,0.9221669027894529,0.9302607739033044,0.616746948507396,0.16221212803386306,0.15906192890008403,0.16664159694920777,0.16034548130569778,0.15732683907767464,0.16491920670606483,-0.0018666467281652777,-0.0023977473383696504,-0.0009865697687226756,0.15435621808054842,0.15078115605269365,0.15804917403466384,0.1513034405322864,0.14781647210408988,0.15493589915829947,-0.0030527775482620256,-0.0031649669031702243,-0.002935630403433178,False
chapman_shaoxing,age,65_plus,xresnet1d101,4482,7,713427006|59118001;39732003;426783006;47665007;426177001;427084000;164934002,080b143a3703b19f,7,0.922192595250622,0.9182185811208486,0.9262454126801304,0.6631764389070106,0.12445798677963325,0.12098248513717948,0.12864143036441797,0.12378390661952046,0.12042707470217683,0.12797616169317289,-0.0006740801601127916,-0.0009052049096945688,-0.0001786836768386186,0.12037606676713163,0.1170727926987756,0.12370539908132162,0.11948024859516052,0.11622513628888216,0.12277127050409388,-0.0008958181719711106,-0.0009425893265341375,-0.0008478506040577201,False
chapman_shaoxing,age,65_plus,s4d,4482,7,713427006|59118001;39732003;426783006;47665007;426177001;427084000;164934002,080b143a3703b19f,7,0.9184755013781801,0.9145557188628296,0.9226865752529823,0.6317916748101512,0.1319654904827883,0.12865369219790612,0.13631862886437646,0.13012517355965267,0.12703799769007063,0.13449123574361135,-0.001840316923135632,-0.002355734447954945,-0.0008403022494094221,0.12722953773289264,0.12383705597924101,0.13059743452422803,0.1247710125424494,0.1215075338270599,0.1280269893077846,-0.0024585251904432337,-0.002587058954460021,-0.0023210660341004747,False
chapman_shaoxing,sex,female,xresnet1d101,4514,15,164890007;733534002|164909002;713427006|59118001;270492004;39732003;111975006;698252002;426783006;284470004|63593006;164917005;47665007;426177001;427084000;164934002;59931005,e00abd49d9702ca7,15,0.8824311065191509,0.871762386226136,0.893101102485953,0.43452024785587934,0.06400759604899091,0.06262971441211271,0.0663177821835823,0.06347421192875739,0.062260306127934796,0.06585137836329709,-0.0005333841202335154,-0.0007140535344221745,-0.00010160315990550954,0.06423960225225232,0.062527699370984,0.06594374341903958,0.06383773858507526,0.06214777910698781,0.06553327726334339,-0.0004018636671770659,-0.00042280071779570474,-0.00038071003930432914,False
chapman_shaoxing,sex,female,s4d,4514,15,164890007;733534002|164909002;713427006|59118001;270492004;39732003;111975006;698252002;426783006;284470004|63593006;164917005;47665007;426177001;427084000;164934002;59931005,e00abd49d9702ca7,15,0.8840895871475156,0.873834321140878,0.8947788907453574,0.42445319945112914,0.06439155522298966,0.06305619600576388,0.06684104518634003,0.0639407378973806,0.06287414759474479,0.06649770647001145,-0.00045081732560905974,-0.0009636319086313048,0.00034085709670771423,0.06543675437130651,0.06366389762165398,0.06717099929450127,0.06432735066295667,0.06260734118478443,0.0660204976381241,-0.001109403708349846,-0.0011709687106490406,-0.0010465185890979431,False
chapman_shaoxing,sex,male,xresnet1d101,5733,15,164890007;733534002|164909002;713427006|59118001;270492004;39732003;111975006;698252002;426783006;284470004|63593006;164917005;47665007;426177001;427084000;164934002;59931005,e00abd49d9702ca7,15,0.8854539450911504,0.8780996260288546,0.8928299761059432,0.4476805884970575,0.0790427013912169,0.07763617116087429,0.08124057302165572,0.07857344473292668,0.07724117190618723,0.08078188590196443,-0.00046925665829021523,-0.0007119928921011525,-0.00016050507223226544,0.08029857400450649,0.07861500894787139,0.08189081695254802,0.07976676789032001,0.07810379890598848,0.08135367267947023,-0.0005318061141864755,-0.0005507061960897657,-0.0005116594193989753,False
chapman_shaoxing,sex,male,s4d,5733,15,164890007;733534002|164909002;713427006|59118001;270492004;39732003;111975006;698252002;426783006;284470004|63593006;164917005;47665007;426177001;427084000;164934002;59931005,e00abd49d9702ca7,15,0.8816886027492689,0.874256853879594,0.8890984405742576,0.4271221801672263,0.08084230623986374,0.07963904047820437,0.08316907398877599,0.07969596146647882,0.07869964091602485,0.08207228941228066,-0.0011463447733849191,-0.001712315025304165,-0.0003925089174023514,0.08264484265732153,0.0809086096635257,0.08431045408870058,0.08126823725067597,0.07958070825924475,0.08287738883192215,-0.0013766054066455535,-0.0014322728102359415,-0.0013177830590967627,False
